FilterId,Category,UserFilter,LinqFilter
1,Age,Puppy,d => d.Age <=3
2,Age,Adult,d => d.Age >3 && d.Age <10
3,Age,Senior,d => d.Age >=10
4,Breed,Boxer,"d => d.Breed == ""Boxer"""
5,Breed,Bulldog,"d => d.Breed == ""Bulldog"""
6,Breed,Cocker Spaniel,"d => d.Breed == ""Cocker Spaniel"""
7,Breed,German Shepherd,"d => d.Breed == ""German Shepherd"""
8,Breed,Golden Retriever,"d => d.Breed == ""Golden Retriever"""
9,Breed,Labrador,"d => d.Breed == ""Labrador"""
10,Breed,Pitbull,"d => d.Breed == ""Pitbull"""
11,Breed,Poodle,"d => d.Breed == ""Poodle"""
12,Breed,Rottweiler,"d => d.Breed == ""Rottweiler"""
13,Breed,Yorkie,"d => d.Breed == ""Yorkie"""
14,Breed,Mixed Breed,"d => d.Breed == ""Mixed Breed"""
15,Breed,Other,"d => d.Breed == ""Other"""
16,BodyType,Toy,"d => d.BodyType == ""Toy"""
17,BodyType,Small,"d => d.BodyType == ""Small"""
18,BodyType,Medium,"d => d.BodyType == ""Medium"""
19,BodyType,Husky,"d => d.BodyType == ""Husky"""
20,HighestEducation,None,"d => d.HighestEducation == ""None"""
21,HighestEducation,Student,"d => d.HighestEducation == ""Student"""
22,HighestEducation,Obedience School,"d => d.HighestEducation == ""Obedience School"""
23,HighestEducation,Advanced Skills,"d => d.HighestEducation == ""Advanced Training/Special Skills"""
24,Barking,Never,"d => d.Barking == ""Never"""
25,Barking,Occasionally,"d => d.Barking == ""Occasionally"""
26,Barking,Daily,"d => d.Barking == ""Daily"""
27,Barking,Trying to Quit,"d => d.Barking == ""Trying to Quit"""
28,Accidents,Never,"d => d.Barking == ""Never"""
29,Accidents,Rarely,"d => d.Barking == ""Rarely"""
30,Accidents,When Ill,"d => d.Barking == ""When Ill"""
31,Accidents,Frequently,"d => d.Barking == ""Frequently"""